industry,sub_industry,total_market_cap,num_of_companies,companies,top_mcap_gainers,top_price_change
Holding & Investment Companies,Investment Companies,160292023455744,6,"[{""symbol"":""DNET.JK"",""name"":""PT Indoritel Makmur Internasional Tbk."",""market_cap_rank"":14,""employee_num"":209,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":20},{""name"":""competitive"",""point"":19.5,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":11.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-07T23:01:56.806Z""}]},{""symbol"":""SRTG.JK"",""name"":""PT Saratoga Investama Sedaya Tbk."",""market_cap_rank"":75,""employee_num"":63,""point_summaries"":[{""name"":""value"",""point"":15,""maxpoint"":23},{""name"":""competitive"",""point"":14,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":16.5,""maxpoint"":27},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.070Z""}]},{""symbol"":""PALM.JK"",""name"":""PT Provident Investasi Bersama Tbk"",""market_cap_rank"":180,""employee_num"":9,""point_summaries"":[{""name"":""value"",""point"":6,""maxpoint"":20},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":6,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:39.041Z""}]}]","{""symbol"":""NICK.JK"",""name"":""PT Charnic Capital Tbk."",""market_cap_change"":1.59999993961207}","{""symbol"":""NICK.JK"",""name"":""PT Charnic Capital Tbk."",""price_change"":1.6}"
Holding & Investment Companies,Financial Holdings,156835382722560,13,"[{""symbol"":""SMMA.JK"",""name"":""PT Sinar Mas Multiartha Tbk"",""market_cap_rank"":18,""employee_num"":55,""point_summaries"":[{""name"":""value"",""point"":1.5,""maxpoint"":18},{""name"":""competitive"",""point"":21.5,""maxpoint"":25.5},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":10.5,""maxpoint"":21},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:39.261Z""}]},{""symbol"":""CASA.JK"",""name"":""PT Capital Financial Indonesia Tbk"",""market_cap_rank"":70,""employee_num"":961,""point_summaries"":[{""name"":""value"",""point"":3.5,""maxpoint"":20},{""name"":""competitive"",""point"":16.5,""maxpoint"":25.5},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":12,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.234Z""}]},{""symbol"":""APIC.JK"",""name"":""PACIFIC STRATEGIC FINANCIAL Tbk"",""market_cap_rank"":118,""employee_num"":220,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":20},{""name"":""competitive"",""point"":13,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":3},{""name"":""financials"",""point"":7,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-07T23:01:56.326Z""}]}]","{""symbol"":""VICO.JK"",""name"":""PT Victoria Investama Tbk."",""market_cap_change"":0.630252061912158}","{""symbol"":""VICO.JK"",""name"":""PT Victoria Investama Tbk."",""price_change"":0.630252100840336}"
Agricultural Products,Plantations & Crops,153841766436864,35,"[{""symbol"":""FAPA.JK"",""name"":""PT FAP Agri Tbk"",""market_cap_rank"":87,""employee_num"":16426,""point_summaries"":[{""name"":""value"",""point"":1,""maxpoint"":23},{""name"":""competitive"",""point"":12,""maxpoint"":25.5},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":10,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:57.371Z""}]},{""symbol"":""TAPG.JK"",""name"":""PT Triputra Agro Persada Tbk."",""market_cap_rank"":102,""employee_num"":14705,""point_summaries"":[{""name"":""value"",""point"":11,""maxpoint"":23},{""name"":""competitive"",""point"":16.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":22,""maxpoint"":27},{""name"":""dividend"",""point"":13,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.091Z""}]},{""symbol"":""SSMS.JK"",""name"":""PT Sawit Sumbermas Sarana Tbk."",""market_cap_rank"":127,""employee_num"":11760,""point_summaries"":[{""name"":""value"",""point"":4,""maxpoint"":23},{""name"":""competitive"",""point"":17.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":1.5,""maxpoint"":27},{""name"":""dividend"",""point"":5.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.071Z""}]}]","{""symbol"":""FISH.JK"",""name"":""FKS Multi Agro Tbk"",""market_cap_change"":0.918918785942706}","{""symbol"":""FISH.JK"",""name"":""FKS Multi Agro Tbk"",""price_change"":0.918918918918919}"
Healthcare Providers,Healthcare Providers,152966599458816,14,"[{""symbol"":""SILO.JK"",""name"":""PT Siloam International Hospitals Tbk."",""market_cap_rank"":50,""employee_num"":14404,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":20},{""name"":""competitive"",""point"":25.5,""maxpoint"":25.5},{""name"":""future"",""point"":16,""maxpoint"":18},{""name"":""financials"",""point"":26,""maxpoint"":27},{""name"":""dividend"",""point"":5.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-07T23:01:57.767Z""}]},{""symbol"":""MIKA.JK"",""name"":""PT Mitra Keluarga Karyasehat Tbk."",""market_cap_rank"":64,""employee_num"":8999,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":18,""maxpoint"":25.5},{""name"":""future"",""point"":22,""maxpoint"":30},{""name"":""financials"",""point"":22.5,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":21.5},{""updatedAt"":""2025-01-09T23:02:53.912Z""}]},{""symbol"":""SRAJ.JK"",""name"":""Sejahteraraya Anugrahjaya Tbk"",""market_cap_rank"":74,""employee_num"":3815,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":18,""maxpoint"":25.5},{""name"":""future"",""point"":16,""maxpoint"":18},{""name"":""financials"",""point"":9.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-05T23:01:58.069Z""}]}]","{""symbol"":""SRAJ.JK"",""name"":""Sejahteraraya Anugrahjaya Tbk"",""market_cap_change"":6.71241854700463}","{""symbol"":""SRAJ.JK"",""name"":""Sejahteraraya Anugrahjaya Tbk"",""price_change"":6.71241830065359}"
IT Services & Consulting,IT Services & Consulting,138665623732224,10,"[{""symbol"":""DCII.JK"",""name"":""PT DCI Indonesia Tbk"",""market_cap_rank"":19,""employee_num"":115,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":15.5,""maxpoint"":18},{""name"":""financials"",""point"":23,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-09T23:02:53.179Z""}]},{""symbol"":""MLPT.JK"",""name"":""PT Multipolar Technology Tbk."",""market_cap_rank"":59,""employee_num"":924,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":20},{""name"":""competitive"",""point"":21,""maxpoint"":21},{""name"":""future"",""point"":15.5,""maxpoint"":18},{""name"":""financials"",""point"":14,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.751Z""}]},{""symbol"":""EDGE.JK"",""name"":""PT Indointernet Tbk."",""market_cap_rank"":162,""employee_num"":281,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":4.5,""maxpoint"":21},{""name"":""future"",""point"":15.5,""maxpoint"":18},{""name"":""financials"",""point"":16,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-01T23:02:36.008Z""}]}]","{""symbol"":""MLPT.JK"",""name"":""PT Multipolar Technology Tbk."",""market_cap_change"":10.9354838476903}","{""symbol"":""MLPT.JK"",""name"":""PT Multipolar Technology Tbk."",""price_change"":10.9354838709677}"
Food & Staples Retailing,Supermarkets & Convenience Store,137319464894464,6,"[{""symbol"":""AMRT.JK"",""name"":""PT Sumber Alfaria Trijaya Tbk."",""market_cap_rank"":17,""employee_num"":92771,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":19.5,""maxpoint"":30},{""name"":""financials"",""point"":24.5,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.344Z""}]},{""symbol"":""MIDI.JK"",""name"":""Midi Utama Indonesia Tbk"",""market_cap_rank"":112,""employee_num"":13936,""point_summaries"":[{""name"":""value"",""point"":5,""maxpoint"":23},{""name"":""competitive"",""point"":13,""maxpoint"":21},{""name"":""future"",""point"":19.5,""maxpoint"":30},{""name"":""financials"",""point"":25.5,""maxpoint"":27},{""name"":""dividend"",""point"":5.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-09T23:02:53.911Z""}]},{""symbol"":""HERO.JK"",""name"":""Hero Supermarket Tbk"",""market_cap_rank"":296,""employee_num"":3955,""point_summaries"":[{""name"":""value"",""point"":3,""maxpoint"":23},{""name"":""competitive"",""point"":4.5,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":3,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-07T23:01:57.053Z""}]}]","{""symbol"":""MLPL.JK"",""name"":""Multipolar Tbk"",""market_cap_change"":0.295652339180584}","{""symbol"":""MLPL.JK"",""name"":""Multipolar Tbk"",""price_change"":0.301369863013699}"
Pharmaceuticals,Pharmaceuticals,106051986624512,13,"[{""symbol"":""KLBF.JK"",""name"":""Kalbe Farma Tbk"",""market_cap_rank"":33,""employee_num"":12924,""point_summaries"":[{""name"":""value"",""point"":1,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":28,""maxpoint"":30},{""name"":""financials"",""point"":23,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.647Z""}]},{""symbol"":""SIDO.JK"",""name"":""PT Industri Jamu Dan Farmasi Sido Muncul Tbk"",""market_cap_rank"":96,""employee_num"":3589,""point_summaries"":[{""name"":""value"",""point"":3,""maxpoint"":23},{""name"":""competitive"",""point"":19.5,""maxpoint"":21},{""name"":""future"",""point"":22,""maxpoint"":30},{""name"":""financials"",""point"":22.5,""maxpoint"":27},{""name"":""dividend"",""point"":13,""maxpoint"":21.5},{""updatedAt"":""2025-01-09T23:02:54.232Z""}]},{""symbol"":""TSPC.JK"",""name"":""Tempo Scan Pacific Tbk"",""market_cap_rank"":132,""employee_num"":4500,""point_summaries"":[{""name"":""value"",""point"":8,""maxpoint"":20},{""name"":""competitive"",""point"":16,""maxpoint"":21},{""name"":""future"",""point"":16,""maxpoint"":18},{""name"":""financials"",""point"":22.5,""maxpoint"":27},{""name"":""dividend"",""point"":17.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:39.399Z""}]}]","{""symbol"":""PYFA.JK"",""name"":""PT Pyridam Farma Tbk"",""market_cap_change"":2.80173077432729}","{""symbol"":""PEVE.JK"",""name"":""PT Penta Valent Tbk"",""price_change"":0.647058823529412}"
Machinery,Construction Machinery & Heavy Vehicles,102615110240256,12,"[{""symbol"":""UNTR.JK"",""name"":""United Tractors Tbk"",""market_cap_rank"":21,""employee_num"":39004,""point_summaries"":[{""name"":""value"",""point"":13.5,""maxpoint"":23},{""name"":""competitive"",""point"":16.5,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":15.5,""maxpoint"":27},{""name"":""dividend"",""point"":18,""maxpoint"":21.5},{""updatedAt"":""2024-12-31T23:02:43.892Z""}]},{""symbol"":""HEXA.JK"",""name"":""Hexindo Adiperkasa Tbk"",""market_cap_rank"":221,""employee_num"":1924,""point_summaries"":[{""name"":""value"",""point"":12,""maxpoint"":23},{""name"":""competitive"",""point"":9.5,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":9.5,""maxpoint"":27},{""name"":""dividend"",""point"":13,""maxpoint"":19.5},{""updatedAt"":""2025-01-05T23:01:57.506Z""}]},{""symbol"":""SKRN.JK"",""name"":""PT Superkrane Mitra Utama Tbk"",""market_cap_rank"":287,""employee_num"":478,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":20},{""name"":""competitive"",""point"":7.5,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":11,""maxpoint"":27},{""name"":""dividend"",""point"":10,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:39.242Z""}]}]","{""symbol"":""SMIL.JK"",""name"":""PT Sarana Mitra Luas Tbk"",""market_cap_change"":0.611599737596332}","{""symbol"":""SMIL.JK"",""name"":""PT Sarana Mitra Luas Tbk"",""price_change"":0.611570247933884}"
Agricultural Products,"Fish, Meat, & Poultry",101557823620855,20,"[{""symbol"":""CPIN.JK"",""name"":""Charoen Pokphand Indonesia Tbk"",""market_cap_rank"":24,""employee_num"":9581,""point_summaries"":[{""name"":""value"",""point"":3,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":24,""maxpoint"":30},{""name"":""financials"",""point"":12,""maxpoint"":27},{""name"":""dividend"",""point"":4.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.499Z""}]},{""symbol"":""JPFA.JK"",""name"":""JAPFA Comfeed Indonesia Tbk"",""market_cap_rank"":97,""employee_num"":30653,""point_summaries"":[{""name"":""value"",""point"":11.5,""maxpoint"":23},{""name"":""competitive"",""point"":18,""maxpoint"":21},{""name"":""future"",""point"":24,""maxpoint"":30},{""name"":""financials"",""point"":7.5,""maxpoint"":27},{""name"":""dividend"",""point"":14,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.594Z""}]},{""symbol"":""CPRO.JK"",""name"":""Central Proteina Prima Tbk"",""market_cap_rank"":258,""employee_num"":1764,""point_summaries"":[{""name"":""value"",""point"":13.5,""maxpoint"":23},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":13,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-01T23:02:35.945Z""}]}]","{""symbol"":""AGAR.JK"",""name"":""PT Asia Sejahtera Mina Tbk"",""market_cap_change"":1.13207544399288}","{""symbol"":""AGAR.JK"",""name"":""PT Asia Sejahtera Mina Tbk"",""price_change"":1.13207547169811}"
Oil & Gas,Oil & Gas Storage & Distribution,89247703752704,14,"[{""symbol"":""PGAS.JK"",""name"":""PT Perusahaan Gas Negara Tbk."",""market_cap_rank"":49,""employee_num"":3334,""point_summaries"":[{""name"":""value"",""point"":10.5,""maxpoint"":20},{""name"":""competitive"",""point"":19.5,""maxpoint"":21},{""name"":""future"",""point"":6.5,""maxpoint"":30},{""name"":""financials"",""point"":18.5,""maxpoint"":27},{""name"":""dividend"",""point"":12,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:39.061Z""}]},{""symbol"":""AKRA.JK"",""name"":""PT AKR Corporindo Tbk."",""market_cap_rank"":80,""employee_num"":2039,""point_summaries"":[{""name"":""value"",""point"":7.5,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":10.5,""maxpoint"":30},{""name"":""financials"",""point"":16.5,""maxpoint"":27},{""name"":""dividend"",""point"":13,""maxpoint"":21.5},{""updatedAt"":""2025-01-07T23:01:56.288Z""}]},{""symbol"":""RAJA.JK"",""name"":""Rukun Raharja Tbk"",""market_cap_rank"":113,""employee_num"":674,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":21,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":11.5,""maxpoint"":27},{""name"":""dividend"",""point"":5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:39.199Z""}]}]","{""symbol"":""LEAD.JK"",""name"":""PT Logindo Samudramakmur Tbk."",""market_cap_change"":1.1030177085159}","{""symbol"":""RAJA.JK"",""name"":""Rukun Raharja Tbk"",""price_change"":0.783606557377049}"
Personal Care Products,Personal Care Products,79004578377728,12,"[{""symbol"":""UNVR.JK"",""name"":""Unilever Indonesia Tbk"",""market_cap_rank"":29,""employee_num"":4451,""point_summaries"":[{""name"":""value"",""point"":4,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":5,""maxpoint"":30},{""name"":""financials"",""point"":20.5,""maxpoint"":27},{""name"":""dividend"",""point"":13,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.168Z""}]},{""symbol"":""VICI.JK"",""name"":""PT Victoria Care Indonesia Tbk"",""market_cap_rank"":216,""employee_num"":2600,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":9.5,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":18},{""name"":""financials"",""point"":25,""maxpoint"":27},{""name"":""dividend"",""point"":6.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.187Z""}]},{""symbol"":""UCID.JK"",""name"":""PT Uni-Charm Indonesia Tbk."",""market_cap_rank"":251,""employee_num"":2018,""point_summaries"":[{""name"":""value"",""point"":14,""maxpoint"":23},{""name"":""competitive"",""point"":6,""maxpoint"":21},{""name"":""future"",""point"":3,""maxpoint"":18},{""name"":""financials"",""point"":25.5,""maxpoint"":27},{""name"":""dividend"",""point"":5.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.150Z""}]}]","{""symbol"":""NANO.JK"",""name"":""PT Nanotech Indonesia Global Tbk"",""market_cap_change"":0.529418908743492}","{""symbol"":""NANO.JK"",""name"":""PT Nanotech Indonesia Global Tbk"",""price_change"":0.529411764705882}"
Construction Materials,Construction Materials,68339622500352,13,"[{""symbol"":""INTP.JK"",""name"":""Indocement Tunggal Prakarsa Tbk"",""market_cap_rank"":85,""employee_num"":4606,""point_summaries"":[{""name"":""value"",""point"":10.5,""maxpoint"":23},{""name"":""competitive"",""point"":13.5,""maxpoint"":21},{""name"":""future"",""point"":18,""maxpoint"":30},{""name"":""financials"",""point"":17.5,""maxpoint"":27},{""name"":""dividend"",""point"":5.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.681Z""}]},{""symbol"":""SMGR.JK"",""name"":""Semen Indonesia (Persero) Tbk"",""market_cap_rank"":88,""employee_num"":9450,""point_summaries"":[{""name"":""value"",""point"":13.5,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":22,""maxpoint"":30},{""name"":""financials"",""point"":12,""maxpoint"":27},{""name"":""dividend"",""point"":7,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:58.006Z""}]},{""symbol"":""CMNT.JK"",""name"":""PT Cemindo Gemilang Tbk"",""market_cap_rank"":103,""employee_num"":3842,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":20},{""name"":""competitive"",""point"":10.5,""maxpoint"":21},{""name"":""future"",""point"":12,""maxpoint"":18},{""name"":""financials"",""point"":6,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:38.482Z""}]}]","{""symbol"":""AYLS.JK"",""name"":""PT Agro Yasa Lestari Tbk"",""market_cap_change"":1.5294118754209}","{""symbol"":""AYLS.JK"",""name"":""PT Agro Yasa Lestari Tbk"",""price_change"":1.52941176470588}"
Coal,Coal Distribution,66308948475904,20,"[{""symbol"":""TCPI.JK"",""name"":""PT Transcoal Pacific Tbk."",""market_cap_rank"":63,""employee_num"":84,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":12,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":13.5,""maxpoint"":27},{""name"":""dividend"",""point"":6.5,""maxpoint"":19.5},{""updatedAt"":""2025-01-05T23:01:58.107Z""}]},{""symbol"":""ALII.JK"",""name"":""PT Ancara Logistics Indonesia Tbk"",""market_cap_rank"":185,""employee_num"":91,""point_summaries"":[{""name"":""value"",""point"":2,""maxpoint"":23},{""name"":""competitive"",""point"":10,""maxpoint"":15},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":12.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2024-12-25T23:02:14.653Z""}]},{""symbol"":""SGER.JK"",""name"":""PT Sumber Global Energy Tbk."",""market_cap_rank"":188,""employee_num"":75,""point_summaries"":[{""name"":""value"",""point"":5,""maxpoint"":23},{""name"":""competitive"",""point"":11.5,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":14.5,""maxpoint"":27},{""name"":""dividend"",""point"":9.5,""maxpoint"":19.5},{""updatedAt"":""2025-01-05T23:01:57.989Z""}]}]","{""symbol"":""DWGL.JK"",""name"":""PT Dwi Guna Laksana Tbk"",""market_cap_change"":1.11864409017838}","{""symbol"":""DWGL.JK"",""name"":""PT Dwi Guna Laksana Tbk"",""price_change"":1.11864406779661}"
Auto Components,Tires,64383235883008,5,"[{""symbol"":""MASA.JK"",""name"":""Multistrada Arah Sarana Tbk"",""market_cap_rank"":34,""employee_num"":2710,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":20},{""name"":""competitive"",""point"":21,""maxpoint"":21},{""name"":""future"",""point"":7.5,""maxpoint"":18},{""name"":""financials"",""point"":27,""maxpoint"":27},{""name"":""dividend"",""point"":3.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.900Z""}]},{""symbol"":""GJTL.JK"",""name"":""Gajah Tunggal Tbk"",""market_cap_rank"":226,""employee_num"":16999,""point_summaries"":[{""name"":""value"",""point"":20,""maxpoint"":23},{""name"":""competitive"",""point"":3.5,""maxpoint"":21},{""name"":""future"",""point"":7.5,""maxpoint"":18},{""name"":""financials"",""point"":16.5,""maxpoint"":27},{""name"":""dividend"",""point"":9.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.428Z""}]},{""symbol"":""BRAM.JK"",""name"":""Indo Kordsa Tbk"",""market_cap_rank"":272,""employee_num"":1503,""point_summaries"":[{""name"":""value"",""point"":8,""maxpoint"":20},{""name"":""competitive"",""point"":3,""maxpoint"":21},{""name"":""future"",""point"":7.5,""maxpoint"":18},{""name"":""financials"",""point"":19.5,""maxpoint"":27},{""name"":""dividend"",""point"":14.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-07T23:01:56.547Z""}]}]","{""symbol"":""MASA.JK"",""name"":""Multistrada Arah Sarana Tbk"",""market_cap_change"":0.623036629182355}","{""symbol"":""MASA.JK"",""name"":""Multistrada Arah Sarana Tbk"",""price_change"":0.62303664921466}"
"Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services",62659197423616,21,"[{""symbol"":""PTRO.JK"",""name"":""Petrosea Tbk"",""market_cap_rank"":58,""employee_num"":4031,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":23},{""name"":""competitive"",""point"":21,""maxpoint"":21},{""name"":""future"",""point"":10.5,""maxpoint"":30},{""name"":""financials"",""point"":5.5,""maxpoint"":27},{""name"":""dividend"",""point"":2,""maxpoint"":21.5},{""updatedAt"":""2025-01-05T23:01:57.893Z""}]},{""symbol"":""HILL.JK"",""name"":""PT Hillcon Tbk"",""market_cap_rank"":172,""employee_num"":2241,""point_summaries"":[{""name"":""value"",""point"":1,""maxpoint"":23},{""name"":""competitive"",""point"":15,""maxpoint"":21},{""name"":""future"",""point"":16.5,""maxpoint"":30},{""name"":""financials"",""point"":6,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":19.5},{""updatedAt"":""2024-12-31T23:02:42.957Z""}]},{""symbol"":""DOID.JK"",""name"":""Delta Dunia Makmur Tbk"",""market_cap_rank"":215,""employee_num"":16268,""point_summaries"":[{""name"":""value"",""point"":11,""maxpoint"":23},{""name"":""competitive"",""point"":10.5,""maxpoint"":21},{""name"":""future"",""point"":4.5,""maxpoint"":18},{""name"":""financials"",""point"":3,""maxpoint"":27},{""name"":""dividend"",""point"":3,""maxpoint"":18.5},{""updatedAt"":""2024-12-31T23:02:42.760Z""}]}]","{""symbol"":""BOAT.JK"",""name"":""PT Newport Marine Services Tbk"",""market_cap_change"":519.992400691943}","{""symbol"":""PTRO.JK"",""name"":""Petrosea Tbk"",""price_change"":3.86784140969163}"
Tourism & Recreation,"Hotels, Resorts & Cruise Lines",60856595621888,30,"[{""symbol"":""JSPT.JK"",""name"":""Jakarta Setiabudi Internasional Tbk"",""market_cap_rank"":67,""employee_num"":782,""point_summaries"":[{""name"":""value"",""point"":0,""maxpoint"":20},{""name"":""competitive"",""point"":21,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":7.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":21.5},{""updatedAt"":""2025-01-03T23:02:38.720Z""}]},{""symbol"":""KPIG.JK"",""name"":""MNC Land Tbk"",""market_cap_rank"":114,""employee_num"":312,""point_summaries"":[{""name"":""value"",""point"":4,""maxpoint"":20},{""name"":""competitive"",""point"":19,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":16,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-07T23:01:57.282Z""}]},{""symbol"":""JIHD.JK"",""name"":""Jakarta International Hotels & Development Tbk"",""market_cap_rank"":224,""employee_num"":1925,""point_summaries"":[{""name"":""value"",""point"":11.5,""maxpoint"":23},{""name"":""competitive"",""point"":17,""maxpoint"":21},{""name"":""future"",""point"":13.5,""maxpoint"":18},{""name"":""financials"",""point"":21.5,""maxpoint"":27},{""name"":""dividend"",""point"":1.5,""maxpoint"":15.5},{""updatedAt"":""2025-01-03T23:02:38.703Z""}]}]","{""symbol"":""JSPT.JK"",""name"":""Jakarta Setiabudi Internasional Tbk"",""market_cap_change"":6.56809343211394}","{""symbol"":""JSPT.JK"",""name"":""Jakarta Setiabudi Internasional Tbk"",""price_change"":6.56809338521401}"
